lat;lon;tx_time;tx_node_id
13.39086;99.26928;1168427;70B3D54993883B0C
13.39086;99.26928;1174770;70B3D54993883B0C
13.3908;99.2693;1178696;70B3D54993883B0C
13.39067;99.26933;1198935;70B3D54993883B0C
13.39066;99.26933;1200988;70B3D54993883B0C
13.39065;99.26933;1204678;70B3D54993883B0C
13.39057;99.26937;1212649;70B3D54993883B0C
13.39041;99.26945;1238542;70B3D54993883B0C
13.3904;99.26945;1240890;70B3D54993883B0C
13.39039;99.26945;1242859;70B3D54993883B0C
13.39036;99.26947;1247984;70B3D54993883B0C
13.39036;99.26947;1250516;70B3D54993883B0C
13.39036;99.26947;1253946;70B3D54993883B0C
13.39016;99.26947;1280408;70B3D54993883B0C
13.39015;99.26947;1282988;70B3D54993883B0C
13.39014;99.26947;1286229;70B3D54993883B0C
13.39013;99.26947;1289982;70B3D54993883B0C
13.39008;99.26947;1296844;70B3D54993883B0C
13.39008;99.26947;1299427;70B3D54993883B0C
13.39008;99.26947;1301288;70B3D54993883B0C
13.39003;99.26944;1315018;70B3D54993883B0C
None;None;1317958;70B3D54993883B0C
13.38991;99.26947;1320425;70B3D54993883B0C
13.3899;99.26947;1322982;70B3D54993883B0C
13.38989;99.26947;1325572;70B3D54993883B0C
13.38978;99.26947;1333312;70B3D54993883B0C
13.38977;99.26947;1338391;70B3D54993883B0C
13.38977;99.26947;1341495;70B3D54993883B0C
13.38973;99.26949;1348973;70B3D54993883B0C
13.38972;99.26949;1353365;70B3D54993883B0C
13.38964;99.26947;1357992;70B3D54993883B0C
13.38962;99.26947;1361692;70B3D54993883B0C
13.38961;99.26947;1364299;70B3D54993883B0C
13.38961;99.26947;1366763;70B3D54993883B0C
13.3896;99.26947;1369918;70B3D54993883B0C
13.3895;99.26949;1372970;70B3D54993883B0C
13.38949;99.26949;1374838;70B3D54993883B0C
13.38948;99.26949;1377596;70B3D54993883B0C
13.38947;99.26949;1383769;70B3D54993883B0C
13.38946;99.26949;1385930;70B3D54993883B0C
13.38935;99.26947;1388446;70B3D54993883B0C
13.38934;99.26947;1390570;70B3D54993883B0C
13.38912;99.2695;1419006;70B3D54993883B0C
13.38901;99.26951;1423322;70B3D54993883B0C
13.389;99.26951;1429612;70B3D54993883B0C
13.38891;99.26953;1433322;70B3D54993883B0C
13.3889;99.26955;1437142;70B3D54993883B0C
13.3889;99.26955;1440148;70B3D54993883B0C
13.38889;99.26955;1442292;70B3D54993883B0C
13.38888;99.26955;1445650;70B3D54993883B0C
13.38876;99.2696;1450023;70B3D54993883B0C
13.38875;99.2696;1455047;70B3D54993883B0C
13.38874;99.2696;1457431;70B3D54993883B0C
13.38873;99.2696;1459639;70B3D54993883B0C
13.38864;99.26963;1462014;70B3D54993883B0C
13.38863;99.26963;1466515;70B3D54993883B0C
13.38861;99.26963;1469897;70B3D54993883B0C
13.3885;99.26968;1474960;70B3D54993883B0C
13.38849;99.26968;1477637;70B3D54993883B0C
13.38848;99.26968;1483214;70B3D54993883B0C
13.38847;99.26968;1486073;70B3D54993883B0C
13.38847;99.26968;1490252;70B3D54993883B0C
13.38847;99.26968;1492566;70B3D54993883B0C
13.38847;99.26968;1494807;70B3D54993883B0C
13.38842;99.2697;1507038;70B3D54993883B0C
13.38842;99.2697;1511913;70B3D54993883B0C
13.38829;99.26974;1516520;70B3D54993883B0C
13.38829;99.26974;1519553;70B3D54993883B0C
13.38819;99.26978;1532142;70B3D54993883B0C
13.38819;99.26978;1535972;70B3D54993883B0C
13.3881;99.26981;1539080;70B3D54993883B0C
13.38809;99.26981;1541278;70B3D54993883B0C
13.38799;99.26982;1554503;70B3D54993883B0C
13.38798;99.26982;1559249;70B3D54993883B0C
13.3879;99.26986;1565409;70B3D54993883B0C
13.3879;99.26986;1570354;70B3D54993883B0C
13.3878;99.2699;1574918;70B3D54993883B0C
13.38779;99.26988;1579880;70B3D54993883B0C
13.38778;99.26988;1582245;70B3D54993883B0C
13.38777;99.2699;1585293;70B3D54993883B0C
13.38776;99.2699;1587790;70B3D54993883B0C
13.38765;99.26993;1590068;70B3D54993883B0C
13.38764;99.26993;1592156;70B3D54993883B0C
13.38763;99.26993;1594407;70B3D54993883B0C
13.38762;99.26993;1597026;70B3D54993883B0C
13.38761;99.26995;1599086;70B3D54993883B0C
13.3876;99.26995;1601143;70B3D54993883B0C
13.38759;99.26995;1603786;70B3D54993883B0C
13.38748;99.27001;1608226;70B3D54993883B0C
13.38747;99.27001;1610079;70B3D54993883B0C
13.38746;99.27001;1612227;70B3D54993883B0C
13.38745;99.27001;1614738;70B3D54993883B0C
13.38745;99.27001;1616513;70B3D54993883B0C
13.38744;99.27001;1619807;70B3D54993883B0C
13.38743;99.27001;1622483;70B3D54993883B0C
13.38731;99.27004;1625094;70B3D54993883B0C
13.3873;99.27004;1627111;70B3D54993883B0C
13.38729;99.27004;1629335;70B3D54993883B0C
13.38728;99.27004;1632775;70B3D54993883B0C
13.38727;99.27004;1635703;70B3D54993883B0C
13.38705;99.27005;1655248;70B3D54993883B0C
13.38689;99.27005;1662038;70B3D54993883B0C
13.38688;99.27005;1665957;70B3D54993883B0C
13.38687;99.27005;1669287;70B3D54993883B0C
13.38681;99.27007;1677408;70B3D54993883B0C
13.38679;99.27007;1681128;70B3D54993883B0C
13.3867;99.27009;1685047;70B3D54993883B0C
13.38669;99.27009;1688353;70B3D54993883B0C
13.38669;99.27009;1690656;70B3D54993883B0C
13.38668;99.27009;1693669;70B3D54993883B0C
13.38654;99.27011;1749444;70B3D54993883B0C
13.38653;99.27011;1752040;70B3D54993883B0C
13.38652;99.27009;1754188;70B3D54993883B0C
13.38638;99.27009;1866266;70B3D54993883B0C
13.38638;99.27009;1877086;70B3D54993883B0C
13.38638;99.27009;1880034;70B3D54993883B0C
13.38639;99.27001;1882961;70B3D54993883B0C
